id,empresa,nps,npstipo,causa1,causa2,causa3,region,prod,verbatim
2000008167,Movistar,6,Detractores,La calidad y cobertura de la señal,Estabilidad de conexión a internet desde el celular,Estabilidad de conexión a internet desde el celular,AMBA,Mixto,EL PROBLEMAS ESTA EN EL SISTEMA EN GENERAL SE INTERCORTA LA LLAMDA NOS CUESTA COMINUCARME LA COMUNICACION NO ES FLUIDA
2000010281,Movistar,10,Promotores,La calidad y cobertura de la señal,Estabilidad de conexión a internet desde el celular,Estabilidad de conexión a internet desde el celular,AMBA,Prepago,LO RECOMIENDO POR QUE SIEMPRE HAY SEÑAL EN LAS ZONAS A DONDE ME DIRIJO LOS SERVICIOS QUE TIENE SON BUENOS
2000005792,Movistar,5,Detractores,La calidad y cobertura de la señal,Calidad de llamadas,Calidad de llamadas,AMBA,Mixto,DIGAMOS QUE NO TIENE BUENA SEÑAL PARA LLAMADAS Y LOS MSJ A VECES NO SALEN EL CEMENTERIO DE OLONNE ZONA DONDE PUEDE OCURRIR
2000178029,Movistar,8,Neutros,El sistema de beneficios CLUB (puntos descuentos a socios,Facilidad de adquirir puntos,Claridad y simplicidad de la factura,SUR,Mixto,TIENE QUE MEJORAR LA ATENCION AL PUBLICO A TRAVEZ DE LA TELFONICA CELULAR CALL CENTER PAGINA WEB PARA TRAMITAR QUERIA CAMBIAR UN ABONO PERO ME DEMORABA EN ENCONTRAR LA OPCION Y LA FACILIDAD PARA DISMINUIR EL ABONO NO ME OTORGAN
2000009078,Movistar,5,Detractores,Los servicios adicionales (música videos juegos email re,Redes sociales (Facebook Twitter etc),Contratar dar de baja servicios adicionales,AMBA,Postpago,LAS TARIFAS LO CARO QUE ES EL PLAN
2000000001,Claro,10,Promotores,La calidad y cobertura de la señal,Cobertura de la señal (para Solo voz yo sms),Cobertura de la señal,AMBA,Mixto,xxxxxxx
2000176767,Claro,10,Promotores,La modalidad de pago de la factura y compra de producto,Facilidad de compra (pago de factura compra de crédito),Email,SUR,Mixto,PORQUE NUNCA TUBE PROBLEMAS Y SI LOS TUBE SIEMPRE ME RESOLVIERON
2000156114,Personal,10,Promotores,La atención al cliente,Cordialidad en la atención (telefónica locales comerciales),Cordialidad en la atención telefónica,LITORAL,Mixto,PORQUE ANDA BIEN EN SEÑAL
2000012808,Movistar,8,Neutros,La calidad y cobertura de la señal,Estabilidad de conexión a internet desde el celular,Estabilidad de conexión a internet desde el celular,AMBA,Postpago,MEJORAR LOS PRECIOS DE IMPORTES EXTRAS LLAMADAS A FIJOSINTERNET CUANDO TE QUEDAS SIN DATOS MEJORAR LA COBERTURA DE INTERNET EN EL INTERIOR DEL PAIS
2000011688,Movistar,9,Promotores,La calidad y cobertura de la señal,Calidad de llamadas,Calidad de llamadas,AMBA,Prepago,POR LA FACILIDAD QUE DAN SIEMPRE Y PARA LA CLASE QUE SOMOS NOSOTROS ES MAS ACCESIBLE
